participant,img,selected,time,group,condition,item,trial,type
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-dalmatian-2.jpg,TRUE,4483,D,contrast,animal,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-dalmatian-1.jpg,TRUE,5355,D,contrast,animal,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-trex-1.jpg,TRUE,2802,D,contrast,beast,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-trex-2.jpg,TRUE,3969,D,contrast,beast,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-smart_phone-2.jpg,TRUE,4055,D,single,electronics,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-smart_phone-1.jpg,TRUE,4916,D,single,electronics,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-red_apple-2.jpg,TRUE,1921,D,single,fruit,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-red_apple-1.jpg,TRUE,2349,D,single,fruit,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-wooden_chair-2.jpg,TRUE,2571,D,contrast,furniture,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-wooden_chair-1.jpg,TRUE,3828,D,contrast,furniture,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-gooseneck_lamp-2.jpg,TRUE,3202,D,contrast,light,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-gooseneck_lamp-1.jpg,TRUE,3894,D,contrast,light,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-green_pepper-1.jpg,TRUE,3019,D,single,vegetable,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-green_pepper-2.jpg,TRUE,3646,D,single,vegetable,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,basic-pepper-2.jpg,TRUE,4525,D,single,vegetable,critical,basic
5ab45ca0d6e1938e5afea5031a0e8bb4,basic-pepper-3.jpg,TRUE,5274,D,single,vegetable,critical,basic
5ab45ca0d6e1938e5afea5031a0e8bb4,basic-pepper-3.jpg,FALSE,6024,D,single,vegetable,critical,basic
5ab45ca0d6e1938e5afea5031a0e8bb4,basic-pepper-2.jpg,FALSE,6620,D,single,vegetable,critical,basic
5ab45ca0d6e1938e5afea5031a0e8bb4,basic-pepper-2.jpg,TRUE,7611,D,single,vegetable,critical,basic
5ab45ca0d6e1938e5afea5031a0e8bb4,basic-pepper-3.jpg,TRUE,8233,D,single,vegetable,critical,basic
5ab45ca0d6e1938e5afea5031a0e8bb4,contrast-red_pepper-2.jpg,TRUE,8884,D,single,vegetable,critical,basic
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-racecar-2.jpg,TRUE,2324,D,single,vehicle,critical,sub
5ab45ca0d6e1938e5afea5031a0e8bb4,sub-racecar-1.jpg,TRUE,3121,D,single,vehicle,critical,sub
b1c1994160b2cb0dd33663c00cb78cad,basic-dog-2.jpg,TRUE,4794,A,single,animal,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,contrast-corgi-2.jpg,TRUE,5508,A,single,animal,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,contrast-corgi-1.jpg,TRUE,6241,A,single,animal,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,basic-dog-3.jpg,TRUE,8049,A,single,animal,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,sub-dalmatian-1.jpg,TRUE,9116,A,single,animal,critical,sub
b1c1994160b2cb0dd33663c00cb78cad,basic-dog-1.jpg,TRUE,9967,A,single,animal,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,sub-dalmatian-2.jpg,TRUE,11011,A,single,animal,critical,sub
b1c1994160b2cb0dd33663c00cb78cad,sub-trex-2.jpg,TRUE,2590,A,contrast,beast,critical,sub
b1c1994160b2cb0dd33663c00cb78cad,sub-trex-1.jpg,TRUE,6021,A,contrast,beast,critical,sub
b1c1994160b2cb0dd33663c00cb78cad,sub-smart_phone-2.jpg,TRUE,2941,A,single,electronics,critical,sub
b1c1994160b2cb0dd33663c00cb78cad,contrast-flip_phone-1.jpg,TRUE,5481,A,single,electronics,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,contrast-flip_phone-2.jpg,TRUE,6508,A,single,electronics,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,basic-phone-3.jpg,TRUE,8395,A,single,electronics,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,sub-smart_phone-1.jpg,TRUE,9128,A,single,electronics,critical,sub
b1c1994160b2cb0dd33663c00cb78cad,basic-phone-3.jpg,FALSE,11549,A,single,electronics,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,contrast-green_apple-2.jpg,TRUE,4426,A,contrast,fruit,critical,contrast
b1c1994160b2cb0dd33663c00cb78cad,basic-apple-2.jpg,TRUE,5374,A,contrast,fruit,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,contrast-green_apple-1.jpg,TRUE,6193,A,contrast,fruit,critical,contrast
b1c1994160b2cb0dd33663c00cb78cad,basic-apple-1.jpg,TRUE,9569,A,contrast,fruit,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,sub-wooden_chair-2.jpg,TRUE,2366,A,single,furniture,critical,sub
b1c1994160b2cb0dd33663c00cb78cad,basic-chair-3.jpg,TRUE,3560,A,single,furniture,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,contrast-office_chair-1.jpg,TRUE,4246,A,single,furniture,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,contrast-office_chair-2.jpg,TRUE,5695,A,single,furniture,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,sub-wooden_chair-1.jpg,TRUE,6458,A,single,furniture,critical,sub
b1c1994160b2cb0dd33663c00cb78cad,basic-chair-2.jpg,TRUE,7375,A,single,furniture,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,basic-chair-1.jpg,TRUE,8123,A,single,furniture,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,sub-gooseneck_lamp-2.jpg,TRUE,3093,A,contrast,light,critical,sub
b1c1994160b2cb0dd33663c00cb78cad,sub-gooseneck_lamp-1.jpg,TRUE,4216,A,contrast,light,critical,sub
b1c1994160b2cb0dd33663c00cb78cad,sub-green_pepper-1.jpg,TRUE,2178,A,single,vegetable,critical,sub
b1c1994160b2cb0dd33663c00cb78cad,basic-pepper-1.jpg,TRUE,2719,A,single,vegetable,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,basic-pepper-3.jpg,TRUE,3229,A,single,vegetable,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,basic-pepper-2.jpg,TRUE,3993,A,single,vegetable,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,sub-green_pepper-2.jpg,TRUE,4566,A,single,vegetable,critical,sub
b1c1994160b2cb0dd33663c00cb78cad,contrast-red_pepper-2.jpg,TRUE,5243,A,single,vegetable,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,contrast-red_pepper-1.jpg,TRUE,8691,A,single,vegetable,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,sub-racecar-2.jpg,TRUE,3242,A,contrast,vehicle,critical,sub
b1c1994160b2cb0dd33663c00cb78cad,basic-car-1.jpg,TRUE,4644,A,contrast,vehicle,critical,basic
b1c1994160b2cb0dd33663c00cb78cad,basic-car-2.jpg,TRUE,5560,A,contrast,vehicle,critical,basic
